from_id,pagerank,raw_line
(missing),0.573575,286540                      0.573575
channel_1179270258,0.004608,227019  channel_1179270258  0.004608
channel_1758820844,0.002487,103181  channel_1758820844  0.002487
channel_1136479756,0.002456,114644  channel_1136479756  0.002456
channel_1390659157,0.0016,209976  channel_1390659157  0.001600
